GC-code;Cache name;Type;Size;Difficulty;Terrain;Latitude;Longitude;Elevation (m);Last publish date;Region;County;Archived;Locked;Disabled;Premium;Finds;FP;FP%;FPW;Placed by;Owner;Found
GCPYWD;Oltar Kamen II;Traditional Cache;Regular;2.5;1.5;N 49° 09.817;E 021° 08.223;977;2005-08-01;Prešovský kraj;Sabinov;0;0;0;0;299;4;3.1008;1.212284;servo2;servo2;
GCQ7EK;Uloza-Kruzok;Traditional Cache;Small;1.5;1.5;N 49° 02.919;E 020° 39.527;975;2005-08-20;Prešovský kraj;Levoča;0;0;0;0;296;2;1.9048;0.523907;servo2;servo2;
GCQBMR;Kolnik;Traditional Cache;Small;1.0;3.0;N 49° 15.930;E 020° 36.592;876;2005-08-29;Prešovský kraj;Stará Ľubovňa;0;0;0;0;100;1;7.1429;1.272189;RadioTEL Team;radiotel;
GCQHG7;Bike It Or Not / Sparova;Traditional Cache;Small;1.5;2.5;N 49° 10.697;E 020° 57.399;491;2005-09-12;Prešovský kraj;Sabinov;0;0;0;0;138;0;0.0;0.0;Django1;django1;
GCQJKJ;Marianska hora - Levoca;Traditional Cache;Small;2.0;2.5;N 49° 02.628;E 020° 35.767;769;2005-09-16;Prešovský kraj;Levoča;0;0;0;0;1021;20;5.698;3.718496;40zbojnikovPP adoptoval túto keš od: Igi;KoroPPxRoman;
GCQJRY;Nest of the Black Stork;Traditional Cache;Regular;3.0;3.0;N 48° 53.330;E 020° 47.758;698;2005-09-19;Košický kraj;Spišská Nová Ves;0;0;0;0;35;3;21.4286;7.571248;robko;robo a spol;
GCQMJX;Certov kamen / Devil`s stone;Traditional Cache;Small;2.0;1.5;N 48° 58.129;E 021° 10.588;390;2005-09-21;Prešovský kraj;Prešov;0;0;0;0;228;7;9.3333;4.594794;servo2;servo2;
GCQN80;The MASK (Raslavova skala/rock);Multi-cache;Small;2.0;2.0;N 48° 55.952;E 021° 21.937;618;2005-09-22;Prešovský kraj;Prešov;0;0;0;0;106;4;8.8889;3.511055;servo2;servo2;
GCQP7B;Divoka voda - Wild water;Unknown Cache;Small;2.5;2.0;N 48° 37.724;E 020° 51.401;278;2005-09-26;Košický kraj;Košice - okolie;0;0;0;0;199;7;8.1395;3.998592;tomco_sk;Algolka;
GCQT47;Dzandzurova dzura;Multi-cache;Regular;2.0;2.5;N 49° 06.200;E 021° 05.148;321;2005-10-02;Prešovský kraj;Sabinov;0;0;0;0;187;6;6.0;2.778575;servo2;servo2;
GCQW6K;Emperor of the darkness  ;Unknown Cache;Small;2.0;2.5;N 48° 53.176;E 021° 02.877;348;2005-10-09;Košický kraj;Gelnica;0;0;0;0;148;7;8.5366;4.196599;bikerkiri;bikerkiri;
GCQWWR;Jasovsky vyhlad / Jasov view;Traditional Cache;Micro;2.0;3.5;N 48° 40.694;E 020° 58.416;336;2005-10-10;Košický kraj;Košice - okolie;0;0;0;0;344;13;9.3525;5.547186;bikerkiri;bikerkiri;1.0
GCQZA7;Jahodovy vyhlad / Strawberry view;Traditional Cache;Small;2.0;2.0;N 48° 45.936;E 021° 07.549;709;2005-10-17;Košický kraj;Košice I;0;0;0;0;459;0;0.0;0.0;bikerkiri;bikerkiri;1.0
GCR1KD;Regeta;Traditional Cache;Micro;2.0;3.0;N 48° 40.457;E 021° 28.600;353;2005-10-21;Košický kraj;Košice - okolie;0;0;0;0;201;1;1.4706;0.260062;bikerkiri;bikerkiri;
GCR1X2;Only for clever #1 - Dargov;Unknown Cache;Small;4.5;1.0;N 48° 44.000;E 021° 32.000;557;2005-10-24;Košický kraj;Košice - okolie;0;0;0;0;297;15;8.982;5.518734;dusan99;dusan99;
GCR2KM;Brezova;Traditional Cache;Regular;2.0;2.5;N 49° 03.502;E 020° 31.821;932;2005-10-24;Prešovský kraj;Kežmarok;0;0;0;0;89;1;4.1667;0.739327;Viking.SK;Viking.SK;
GCR37H;Cermelske udolie / Cermel valey;Unknown Cache;Small;1.5;2.0;N 48° 45.006;E 021° 12.321;321;2005-10-24;Košický kraj;Košice I;0;0;0;0;266;2;1.9802;0.544721;bikerkiri;bikerkiri;
GCR3HR;Hrad Slanec / Castle of Slanec;Traditional Cache;Small;3.0;2.0;N 48° 38.251;E 021° 28.259;506;2005-10-26;Košický kraj;Košice - okolie;0;0;0;0;615;8;3.9801;2.030318;bikerkiri;bikerkiri;1.0
GCR3J4;Izra;Traditional Cache;Micro;2.0;2.0;N 48° 34.245;E 021° 29.679;461;2005-10-26;Košický kraj;Košice - okolie;0;0;0;0;430;3;2.4;0.819511;bikerkiri;bikerkiri;
GCR57P;HSZ-Hamborek hrad/castle;Traditional Cache;Small;3.0;3.0;N 49° 07.443;E 020° 49.866;842;2005-10-30;Prešovský kraj;Sabinov;0;0;0;0;21;0;0.0;0.0;servo2;servo2;
GCR59E;Brezovicky hrad/castle;Multi-cache;Small;2.0;1.5;N 49° 08.793;E 020° 50.980;472;2005-10-30;Prešovský kraj;Sabinov;0;0;0;0;77;0;0.0;0.0;servo2;servo2;1.0
GCR64Z;HSZ-Obisovsky hrad/castle;Traditional Cache;Small;2.5;2.5;N 48° 52.313;E 021° 13.616;368;2005-11-01;Košický kraj;Košice - okolie;0;0;0;0;374;3;2.0979;0.715989;servo2;servo2;1.0
GCR654;HSZ-Kysacky hrad/castle;Traditional Cache;Small;3.0;3.0;N 48° 51.553;E 021° 12.378;502;2005-11-01;Košický kraj;Košice - okolie;0;0;0;0;233;2;2.439;0.671423;servo2;servo2;
GCR65C;HSZ-Sokol hrad/castle;Traditional Cache;Small;2.0;3.5;N 48° 49.636;E 021° 09.858;665;2005-11-01;Košický kraj;Košice - okolie;0;0;0;0;158;0;0.0;0.0;servo2;servo2;
GCRH7C;Only for clever #2 - Baba Jaga;Unknown Cache;Micro;4.5;1.0;N 48° 43.000;E 021° 15.000;210;2005-12-02;Košický kraj;Košice I;0;0;1;0;397;7;3.5897;1.749534;dusan99;dusan99;1.0
GCT5P0;Skiing Cache Drienica;Traditional Cache;Regular;2.0;2.0;N 49° 08.308;E 021° 07.527;728;2006-01-25;Prešovský kraj;Sabinov;0;0;0;0;158;2;4.2553;1.174803;Igi;Igi;
GCTPT6;Skiing cache Regetovka;Traditional Cache;Regular;1.5;2.5;N 49° 25.273;E 021° 15.591;689;2006-03-04;Prešovský kraj;Bardejov;0;0;0;0;60;0;0.0;0.0;Igi;Igi;
GCTV3N;DKS - Brezany;Traditional Cache;Micro;1.5;1.5;N 48° 58.719;E 021° 06.786;385;2006-03-11;Prešovský kraj;Prešov;0;0;0;0;271;4;3.4483;1.348961;kamildu;kamildu;
GCTVAK;3SK;Multi-cache;Small;2.0;1.5;N 49° 24.052;E 020° 25.003;464;2006-03-11;Prešovský kraj;Kežmarok;0;0;0;0;786;9;2.9221;1.544768;servo2;servo2;
GCTY1V;DKS - Trocany;Multi-cache;Small;1.0;1.5;N 49° 10.904;E 021° 19.253;349;2006-03-17;Prešovský kraj;Bardejov;0;0;0;0;228;5;4.065;1.74861;kamildu;kamildu;
GCV2P9;Bindt;Multi-cache;Small;2.0;1.5;N 48° 52.200;E 020° 34.690;620;2006-03-29;Košický kraj;Spišská Nová Ves;0;0;0;0;135;2;3.4483;0.950773;servo2;servo2;
GCV995;Banske;Traditional Cache;Small;1.0;2.0;N 48° 49.123;E 021° 31.725;681;2006-04-07;Košický kraj;Košice - okolie;0;0;0;0;193;0;0.0;0.0;bikerkiri;bikerkiri;
GCV999;Pod hradom Cicva;Traditional Cache;Small;1.5;2.5;N 48° 54.875;E 021° 44.370;176;2006-04-07;Prešovský kraj;Vranov nad Topľou;0;0;0;0;535;18;10.4046;6.683227;cicva-od2018, bikerkiri-2006-2018;cicva;
GCV9RP;Tajch;Traditional Cache;Small;2.0;2.0;N 49° 00.874;E 021° 25.354;442;2006-04-09;Prešovský kraj;Vranov nad Topľou;0;0;0;0;161;4;8.8889;3.511055;polo76;polo76;
GCVE8E;GREY HILL;Traditional Cache;Regular;3.0;4.0;N 48° 50.896;E 021° 05.998;762;2006-04-16;Košický kraj;Košice - okolie;0;0;0;0;430;26;18.1818;12.720513;robo a spol;robo a spol;
GCVGGV;Husitská pevnôstka - The Husitas fortress;Traditional Cache;Regular;1.5;3.0;N 48° 38.351;E 020° 43.530;579;2006-04-19;Košický kraj;Rožňava;0;0;0;0;258;21;22.5806;15.270042;mcafrika;mcafrika;1.0
GCVHBC;Folkmar view;Traditional Cache;Small;2.0;3.5;N 48° 49.682;E 021° 00.738;898;2006-04-21;Košický kraj;Gelnica;0;0;0;0;331;18;18.5567;12.072807;polo76;polo76;
GCVJF0;Tisicka;Traditional Cache;Small;2.0;3.5;N 48° 45.650;E 021° 02.706;1051;2006-04-21;Košický kraj;Košice - okolie;0;0;0;0;171;2;3.0769;0.847882;polo76;polo76;
GCVKTD;Durst;Traditional Cache;Small;2.0;1.5;N 49° 01.921;E 020° 37.343;649;2006-04-24;Prešovský kraj;Levoča;0;0;0;0;305;1;0.9524;0.168313;Viking.SK;Viking.SK;
GCVPAH;Lucia Bana / Lucia Mine;Traditional Cache;Small;1.5;2.5;N 48° 43.043;E 020° 55.226;463;2006-04-27;Košický kraj;Košice - okolie;0;0;0;0;143;0;0.0;0.0;bikerkiri;bikerkiri;
GCVPC9;Zabijana;Traditional Cache;Regular;2.0;2.0;N 48° 59.370;E 021° 10.444;408;2006-04-27;Prešovský kraj;Prešov;0;0;0;0;294;1;1.0309;0.182212;servo2;servo2;
GCVVY6; Hrhovský vodopád;Traditional Cache;Small;1.5;1.0;N 48° 36.438;E 020° 44.928;221;2006-05-05;Košický kraj;Rožňava;0;0;0;0;679;44;17.1206;13.00787;polo76;polo76;
GCVXB3;Sninský kamen;Traditional Cache;Small;2.0;3.5;N 48° 55.812;E 022° 11.145;981;2006-05-08;Prešovský kraj;Humenné;0;0;0;0;528;33;19.8795;14.520087;polo76;polo76;
GCVZQY;summit;Traditional Cache;Large;2.0;2.5;N 49° 00.477;E 020° 16.068;698;2006-05-14;Prešovský kraj;Poprad;0;0;0;0;122;3;7.6923;2.650691;robim;robim;
GCW4KT;Zadiel;Multi-cache;Small;3.0;3.0;N 48° 36.931;E 020° 49.974;252;2006-05-22;Košický kraj;Košice - okolie;0;0;1;0;450;13;6.4677;3.818309;bikerkiri;bikerkiri;1.0
GCW5DR;STONE001;Traditional Cache;Regular;1.5;3.5;N 49° 00.855;E 020° 09.485;1209;2006-05-25;Prešovský kraj;Poprad;0;0;0;0;183;4;5.4054;2.121867;Jan__;Jan__;
GCWC0D;Only for clever #3 - Merlin;Unknown Cache;Micro;3.0;1.0;N 48° 44.000;E 021° 15.000;220;2006-06-01;Košický kraj;Košice I;0;0;0;0;344;2;1.2821;0.352284;dusan99;dusan99;
GCWDD3;Only for clever #4 - Merlinove dedicstvo;Unknown Cache;Micro;4.5;1.0;N 48° 44.000;E 021° 14.800;213;2006-06-04;Košický kraj;Košice I;0;0;0;0;286;5;3.5461;1.523995;dusan99;dusan99;
GCWDFQ;Spa Thurzov;Traditional Cache;Small;1.5;1.0;N 48° 51.530;E 020° 54.585;449;2006-06-04;Košický kraj;Gelnica;0;0;0;0;269;2;1.9048;0.523907;tummy;tummy;
GCWJ0G;Viniansky hrad;Traditional Cache;Regular;2.0;3.0;N 48° 49.220;E 021° 57.005;332;2006-06-13;Košický kraj;Michalovce;0;0;0;0;605;21;10.0478;6.666116;cimo;cimo;
GCWJ32;T2;Unknown Cache;Small;3.5;4.0;N 48° 48.780;E 021° 00.894;720;2006-06-13;Košický kraj;Gelnica;0;0;0;0;50;3;11.1111;3.851965;climberko;climberko;
GCWJAN;Only for clever #5 - pernikova chalupka;Unknown Cache;Micro;3.5;1.5;N 48° 40.000;E 021° 16.000;203;2006-06-13;Košický kraj;Košice IV;0;0;0;0;259;23;17.2932;11.808653;dusan99;dusan99;1.0
GCWXJ0;HSZ - Zborov;Traditional Cache;Regular;3.0;2.5;N 49° 21.155;E 021° 17.922;453;2006-07-02;Prešovský kraj;Bardejov;0;0;0;0;487;21;12.963;8.637143;KatoZuzi & tummy;KatoZuzi;
GCX28T;Nad džurou;Traditional Cache;Small;2.0;3.5;N 49° 03.476;E 020° 55.452;835;2006-07-09;Prešovský kraj;Prešov;0;0;0;0;152;7;10.6061;5.233281;tummy;tummy;
GCX29G;Na Skalke;Traditional Cache;Small;2.0;3.0;N 48° 52.126;E 021° 12.392;408;2006-07-09;Košický kraj;Košice - okolie;0;0;0;0;189;15;19.7368;12.341879;polo76;polo76;1.0
GCX6RA;Ako mi to mohli spravit?;Traditional Cache;Regular;1.5;2.0;N 49° 00.825;E 020° 29.732;701;2006-07-18;Prešovský kraj;Levoča;0;0;0;0;189;2;3.0769;0.847882;Viking.SK;Viking.SK;
GCX95A;Rothova diera;Traditional Cache;Small;2.5;3.5;N 48° 50.246;E 021° 07.062;654;2006-07-24;Košický kraj;Košice - okolie;0;0;0;0;170;16;26.2295;16.838645;kamildu;kamildu;
GCX9MP;Kloptan;Traditional Cache;Small;1.5;4.0;N 48° 46.771;E 020° 51.573;1149;2006-07-23;Košický kraj;Gelnica;0;0;0;0;221;13;14.4444;8.639907;bikerkiri;bikerkiri;
GCX9MW;Ovcinec;Traditional Cache;Small;1.5;3.5;N 48° 46.116;E 020° 53.444;1014;2006-07-23;Košický kraj;Gelnica;0;0;0;0;141;0;0.0;0.0;bikerkiri;bikerkiri;
GCX9MZ;Tri studne;Traditional Cache;Small;1.5;3.0;N 48° 45.909;E 020° 55.047;955;2006-07-23;Košický kraj;Gelnica;0;0;0;0;147;1;1.9608;0.34696;bikerkiri;bikerkiri;
GCXCFM;Bora-Bora;Traditional Cache;Regular;2.0;2.5;N 49° 03.774;E 020° 09.396;917;2006-07-31;Prešovský kraj;Poprad;0;0;0;0;253;3;3.8961;1.333771;Jan__;Jan__;
GCXECQ;Lajoska;Traditional Cache;Small;1.5;3.0;N 48° 45.802;E 021° 04.650;916;2006-07-31;Košický kraj;Košice - okolie;0;0;0;0;377;5;4.386;1.887723;bikerkiri;bikerkiri;
GCXG3A;Hohenlohe;Multi-cache;Regular;1.5;1.5;N 49° 16.420;E 020° 08.503;1032;2006-08-04;Prešovský kraj;Poprad;0;0;0;0;454;18;9.9448;6.383371;unixteam;unixteam;
GCXY2B;Only for clever #6 - bobova draha;Unknown Cache;Micro;4.0;1.5;N 48° 46.839;E 021° 12.148;419;2006-08-24;Košický kraj;Košice I;0;0;0;0;197;0;0.0;0.0;dusan99;dusan99;
GCY6DM;Mysia horka;Traditional Cache;Regular;1.5;2.5;N 49° 00.401;E 020° 26.627;617;2006-09-09;Prešovský kraj;Levoča;0;0;0;0;244;11;13.0952;7.472145;Viking.SK;Viking.SK;
GCYAM1;Skiing cache Mlynky-Kruhova;Traditional Cache;Regular;1.5;3.0;N 48° 50.901;E 020° 23.946;994;2006-09-15;Košický kraj;Spišská Nová Ves;0;0;0;0;166;0;0.0;0.0;tummy;hidden.sk;
GCYB60;Dvaja obri / Two giants;Traditional Cache;Micro;1.5;4.0;N 48° 48.865;E 021° 14.232;272;2006-09-17;Košický kraj;Košice - okolie;0;0;0;0;224;3;3.3708;1.152901;bikerkiri;bikerkiri;
GCYJA4;Oltare (neprave);Traditional Cache;Regular;1.5;2.5;N 48° 58.826;E 021° 23.200;855;2006-09-29;Prešovský kraj;Prešov;0;0;0;0;153;0;0.0;0.0;tummy;tummy;
GCYJAB;Pramen;Unknown Cache;Regular;3.0;2.0;N 48° 58.333;E 021° 22.979;701;2006-09-29;Prešovský kraj;Prešov;0;0;0;0;121;1;2.439;0.431842;tummy;tummy;
GCYKNM;Kremenec - bonus cache SK;Traditional Cache;Regular;2.0;4.0;N 49° 05.267;E 022° 33.760;1181;2006-10-01;Prešovský kraj;Snina;0;0;0;0;971;19;4.5131;2.907966;tummy & bikerkiri;tummy;
GCYKNY;Pramen - Sedlo pod Ciertazou;Traditional Cache;Regular;2.0;4.0;N 49° 05.254;E 022° 30.094;912;2006-10-01;Prešovský kraj;Snina;0;0;0;0;255;3;3.6585;1.251935;tummy & bikerkiri;tummy;
GCYP8V;Zvoniva jama;Traditional Cache;Small;1.5;2.0;N 48° 37.073;E 020° 25.540;676;2006-10-06;Košický kraj;Rožňava;0;0;0;0;157;7;10.6061;5.233281;polo76;polo76;
GCYP96;Gerlasska skala;Traditional Cache;Small;1.5;3.5;N 48° 39.456;E 020° 25.369;753;2006-10-06;Košický kraj;Rožňava;0;0;0;0;176;8;11.1111;5.738751;polo76;polo76;
GCYQVT;Geravy;Multi-cache;Small;2.0;3.5;N 48° 52.849;E 020° 23.826;1039;2006-10-08;Košický kraj;Spišská Nová Ves;0;0;0;0;660;4;1.5748;0.61406;tummy;hidden.sk;
GCYQWG;Male Zajfy;Traditional Cache;Regular;2.0;2.5;N 48° 53.380;E 020° 22.485;858;2006-10-10;Košický kraj;Rožňava;0;0;0;0;474;9;5.625;2.987196;tummy;hidden.sk;
GCYQX6;Nad Palcmanskou Masou;Traditional Cache;Micro;2.0;3.5;N 48° 52.102;E 020° 22.107;892;2006-10-08;Košický kraj;Rožňava;0;0;0;0;627;0;0.0;0.0;tummy;hidden.sk;
GCYQXK;Palcmanska Masa;Multi-cache;Micro;2.0;1.5;N 48° 51.343;E 020° 23.074;778;2006-10-10;Košický kraj;Rožňava;0;0;0;0;796;13;4.3046;2.532621;tummy;hidden.sk;
GCYT7X;Drienkovy hrbok;Traditional Cache;Regular;2.0;2.0;N 48° 51.379;E 021° 01.796;608;2006-10-10;Košický kraj;Gelnica;0;0;0;0;243;6;7.1429;3.314536;polo76;polo76;
GCYVPM;Rozsypana skala - Rohacka;Traditional Cache;Regular;2.5;3.5;N 48° 55.638;E 021° 00.290;1013;2006-10-15;Prešovský kraj;Prešov;0;0;0;0;221;15;15.0;9.305903;polo76;polo76;
GCZAJ2;Dobsinsky kopec;Traditional Cache;Small;1.5;1.5;N 48° 50.839;E 020° 22.654;847;2006-11-11;Košický kraj;Rožňava;0;0;0;0;1309;24;5.0633;3.425802;polo76;polo76;1.0
GCZB5Y;Havrania skala;Traditional Cache;Small;2.0;3.5;N 48° 53.402;E 020° 20.686;1137;2006-11-13;Košický kraj;Rožňava;0;0;0;0;516;34;15.9624;11.653341;polo76;polo76;
GCZHD9;Katarina;Traditional Cache;Regular;2.0;2.0;N 49° 00.085;E 021° 10.147;336;2006-11-25;Prešovský kraj;Prešov;0;0;0;0;213;2;2.2222;0.611531;Igi;Igi;
GCZKV0;STLP MIERU;Multi-cache;Micro;1.5;1.5;N 48° 42.439;E 021° 15.417;205;2006-12-07;Košický kraj;Košice IV;0;0;0;0;462;3;1.5957;0.544146;foxymaxi;foxymaxi;1.0
GCZQ65;Under Pressure;Unknown Cache;Regular;3.0;2.0;N 49° 06.350;E 020° 23.450;641;2006-12-26;Prešovský kraj;Kežmarok;0;0;1;0;92;6;13.3333;6.257064;qwerty-sk;qwerty-sk;
GCZRGH;Ruskinovce;Traditional Cache;Micro;2.5;2.0;N 49° 05.323;E 020° 31.165;746;2007-01-02;Prešovský kraj;Kežmarok;0;0;0;0;143;3;11.1111;3.851965;Viking.SK;Viking.SK;
GCZRGM;Dvorce;Traditional Cache;Regular;1.5;2.5;N 49° 04.893;E 020° 33.746;869;2007-01-02;Prešovský kraj;Levoča;0;0;0;0;122;4;11.7647;4.671371;Viking.SK;Viking.SK;
GCZRGP;Blazov;Traditional Cache;Regular;1.5;3.0;N 49° 08.189;E 020° 43.521;644;2007-01-02;Prešovský kraj;Sabinov;0;0;0;0;105;6;10.7143;5.003867;Viking.SK;Viking.SK;
GCZRGQ;Lubicke Kupele;Traditional Cache;Regular;1.0;1.5;N 49° 08.446;E 020° 31.822;739;2007-01-02;Prešovský kraj;Kežmarok;0;0;0;0;163;4;8.0;3.1549;Viking.SK;Viking.SK;
GCZWTZ;Kenwood;Unknown Cache;Small;4.0;2.0;N 48° 42.000;E 021° 18.000;298;2006-12-19;Košický kraj;Košice IV;0;0;0;0;119;2;3.8462;1.061149;climberko;climberko;
GCZXQJ;Only for clever #8 - rebriky;Unknown Cache;Micro;5.0;1.0;N 48° 43.999;E 021° 15.111;214;2006-12-22;Košický kraj;Košice I;0;0;0;0;362;26;13.9037;9.668043;dusan99;dusan99;
GC10850;Pred Lacnovom;Traditional Cache;Small;1.5;2.5;N 49° 04.058;E 020° 55.872;787;2007-04-09;Prešovský kraj;Prešov;0;0;0;0;325;2;1.8349;0.504626;bikerkiri;bikerkiri;
